Python Sod Shock Tube Results (t = 0.150)
x,density,velocity,pressure,energy
1.425000000000000155e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.474999999999999922e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.524999999999999967e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.575000000000000011e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.625000000000000056e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.675000000000000100e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.725000000000000144e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.775000000000000189e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.824999999999999956e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.875000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.925000000000000044e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.975000000000000089e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.025000000000000133e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.075000000000000178e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.124999999999999944e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.174999999999999989e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.225000000000000033e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.275000000000000078e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.325000000000000122e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.375000000000000167e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.424999999999999933e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.474999999999999978e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.525000000000000022e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.575000000000000067e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.625000000000000111e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.675000000000000155e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.725000000000000200e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.775000000000000244e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.825000000000000289e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.875000000000000333e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.924999999999999822e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.974999999999999867e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
3.024999999999999911e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
3.074999999999999956e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
3.125000000000000000e-01,9.985345093836027752e-01,1.744401646661841070e-03,9.979365248497333862e-01,2.498504366066686799e+00
3.175000000000000044e-01,9.861346713932293007e-01,1.649159487184590975e-02,9.806393904153912766e-01,2.486204620946848465e+00
3.225000000000000089e-01,9.682140624000609153e-01,3.806403841117031450e-02,9.558007643012531585e-01,2.468672385811391923e+00
3.275000000000000133e-01,9.494552003114120620e-01,6.100896208255093822e-02,9.299841524040902696e-01,2.450592045564909505e+00
3.325000000000000178e-01,9.305671935685717600e-01,8.448531919220093889e-02,9.041922409701864671e-01,2.432711689148936873e+00
3.375000000000000222e-01,9.116297266502833008e-01,1.084086771322820414e-01,8.785419732592445463e-01,2.415138302535190462e+00
3.425000000000000266e-01,8.927093274865418593e-01,1.327114719585856528e-01,8.531270236224115511e-01,2.397957365199552715e+00
3.475000000000000311e-01,8.738675506143637195e-01,1.573271494954214533e-01,8.280301255128015292e-01,2.381242127261457231e+00
3.525000000000000355e-01,8.551481671974312526e-01,1.822081639132562547e-01,8.033081490070798081e-01,2.365047170268448795e+00
3.574999999999999845e-01,8.365819605001291182e-01,2.073211271990529903e-01,7.790002960032236246e-01,2.349416837257609192e+00
3.624999999999999889e-01,8.181922672937670393e-01,2.326386878542736070e-01,7.551353347958122963e-01,2.334388879766948754e+00
3.674999999999999933e-01,7.999984885474537011e-01,2.581375429725040749e-01,7.317354793546486658e-01,2.319995188785245688e+00
3.724999999999999978e-01,7.820171025817148625e-01,2.837977850952942416e-01,7.088175802808363013e-01,2.306261891157666444e+00
3.775000000000000022e-01,7.642619529144987212e-01,3.096021792432440689e-01,6.863940866147778541e-01,2.293210861791912247e+00
3.825000000000000067e-01,7.467444237984141031e-01,3.355357703350908549e-01,6.644738775927854224e-01,2.280861391573626218e+00
3.875000000000000111e-01,7.294736416247041833e-01,3.615854850676857302e-01,6.430627354287640207e-01,2.269230741179399935e+00
3.925000000000000155e-01,7.124568319135091699e-01,3.877396440878579931e-01,6.221637744644471502e-01,2.258334074230757160e+00
3.975000000000000200e-01,6.956996982885170766e-01,4.139876860659373325e-01,6.017779023182497911e-01,2.248184505160403912e+00
4.025000000000000244e-01,6.792067666844823215e-01,4.403201505449471087e-01,5.819043041753749756e-01,2.238793489922992652e+00
